Customer_ID,Customer_Name,Age,Gender,City,State,Registration_Date
C00001,Customer_00001,27,Male,New Delhi,Delhi,2026-01-01
C00002,Customer_00002,62,Male,Bengaluru,Karnataka,2024-10-14
C00003,Customer_00003,58,Male,Coimbatore,Tamil Nadu,2025-01-15
C00004,Customer_00004,61,Female,Muzaffarpur,Bihar,2025-06-06
C00005,Customer_00005,49,Male,Mysuru,Karnataka,2024-05-30
C00006,Customer_00006,59,Female,Coimbatore,Tamil Nadu,2024-06-27
C00007,Customer_00007,42,Female,Delhi,Delhi,2024-03-09
C00008,Customer_00008,35,Female,Ahmedabad,Gujarat,2024-03-28
C00009,Customer_00009,56,Female,Kolkata,West Bengal,2025-03-24
C00010,Customer_00010,54,Female,Lucknow,Uttar Pradesh,2025-03-02
C00011,Customer_00011,50,Male,Nagpur,Maharashtra,2024-05-15
C00012,Customer_00012,57,Female,Bengaluru,Karnataka,2024-01-27
C00013,Customer_00013,40,Male,Nagpur,Maharashtra,2026-03-26
C00014,Customer_00014,42,Male,Surat,Gujarat,2025-04-05
C00015,Customer_00015,52,Female,Bhagalpur,Bihar,2024-04-23
C00016,Customer_00016,58,Female,Bengaluru,Karnataka,2024-11-16
C00017,Customer_00017,53,Male,Kolkata,West Bengal,2024-02-16
C00018,Customer_00018,55,Male,Mumbai,Maharashtra,2025-10-05
C00019,Customer_00019,22,Male,Varanasi,Uttar Pradesh,2026-05-27
C00020,Customer_00020,33,Male,Surat,Gujarat,2024-01-24
C00021,Customer_00021,60,Female,Bhagalpur,Bihar,2026-05-10
C00022,Customer_00022,60,Male,Muzaffarpur,Bihar,2025-11-13
C00023,Customer_00023,64,Female,New Delhi,Delhi,2024-03-08
C00024,Customer_00024,35,Male,Jamshedpur,Jharkhand,2025-11-15
C00025,Customer_00025,26,Female,New Delhi,Delhi,2024-07-21
C00026,Customer_00026,52,Male,Coimbatore,Tamil Nadu,2024-08-11
C00027,Customer_00027,50,Male,Delhi,Delhi,2026-06-01
C00028,Customer_00028,54,Female,Bhagalpur,Bihar,2024-04-16
C00029,Customer_00029,33,Male,Bengaluru,Karnataka,2024-09-15
C00030,Customer_00030,46,Female,Varanasi,Uttar Pradesh,2024-06-19
C00031,Customer_00031,56,Male,Surat,Gujarat,2026-06-19
C00032,Customer_00032,44,Female,Kanpur,Uttar Pradesh,2025-07-02
C00033,Customer_00033,34,Male,Durgapur,West Bengal,2025-08-28
C00034,Customer_00034,54,Male,Mysuru,Karnataka,2025-08-22
C00035,Customer_00035,31,Male,Mumbai,Maharashtra,2025-01-23
C00036,Customer_00036,29,Male,Kolkata,West Bengal,2024-01-10
C00037,Customer_00037,59,Female,Kolkata,West Bengal,2026-01-10
C00038,Customer_00038,46,Female,Bengaluru,Karnataka,2026-06-07
C00039,Customer_00039,39,Male,Delhi,Delhi,2026-06-27
C00040,Customer_00040,64,Female,Mysuru,Karnataka,2024-11-21
C00041,Customer_00041,42,Female,Surat,Gujarat,2025-03-30
C00042,Customer_00042,65,Male,Pune,Maharashtra,2025-02-23
C00043,Customer_00043,49,Female,Muzaffarpur,Bihar,2025-09-06
C00044,Customer_00044,63,Male,Nagpur,Maharashtra,2026-01-04
C00045,Customer_00045,47,Male,New Delhi,Delhi,2025-10-02
C00046,Customer_00046,52,Male,New Delhi,Delhi,2024-01-25
C00047,Customer_00047,45,Male,Jamshedpur,Jharkhand,2026-03-08
C00048,Customer_00048,63,Female,Lucknow,Uttar Pradesh,2026-03-26
C00049,Customer_00049,53,Male,Jaipur,Rajasthan,2026-04-28
C00050,Customer_00050,43,Female,Patna,Bihar,2025-11-29
C00051,Customer_00051,63,Female,Delhi,Delhi,2026-05-05
C00052,Customer_00052,42,Male,Coimbatore,Tamil Nadu,2025-01-29
C00053,Customer_00053,29,Male,Gaya,Bihar,2025-10-06
C00054,Customer_00054,41,Male,Mysuru,Karnataka,2024-05-02
C00055,Customer_00055,39,Female,Patna,Bihar,2024-10-07
C00056,Customer_00056,35,Male,Jamshedpur,Jharkhand,2025-09-10
C00057,Customer_00057,19,Female,Coimbatore,Tamil Nadu,2024-01-15
C00058,Customer_00058,22,Female,Bengaluru,Karnataka,2025-03-23
C00059,Customer_00059,50,Female,Pune,Maharashtra,2025-10-03
C00060,Customer_00060,54,Male,Jamshedpur,Jharkhand,2024-01-08
C00061,Customer_00061,23,Female,Jamshedpur,Jharkhand,2026-03-08
C00062,Customer_00062,38,Female,Durgapur,West Bengal,2025-08-31
C00063,Customer_00063,22,Male,Durgapur,West Bengal,2026-06-18
C00064,Customer_00064,52,Male,Gaya,Bihar,2024-04-11
C00065,Customer_00065,36,Female,Chennai,Tamil Nadu,2024-05-27
C00066,Customer_00066,47,Female,Jamshedpur,Jharkhand,2026-02-06
C00067,Customer_00067,25,Female,Delhi,Delhi,2025-03-04
C00068,Customer_00068,25,Female,Surat,Gujarat,2025-11-08
C00069,Customer_00069,62,Female,Delhi,Delhi,2026-04-02
C00070,Customer_00070,62,Male,Mumbai,Maharashtra,2025-06-24
C00071,Customer_00071,22,Female,Durgapur,West Bengal,2024-11-29
C00072,Customer_00072,55,Male,Pune,Maharashtra,2026-03-13
C00073,Customer_00073,20,Female,Durgapur,West Bengal,2024-02-16
C00074,Customer_00074,43,Male,Bengaluru,Karnataka,2026-01-25
C00075,Customer_00075,39,Female,Pune,Maharashtra,2024-01-10
C00076,Customer_00076,40,Female,Kanpur,Uttar Pradesh,2024-09-24
C00077,Customer_00077,26,Male,Muzaffarpur,Bihar,2025-01-06
C00078,Customer_00078,61,Female,New Delhi,Delhi,2026-04-24
C00079,Customer_00079,64,Female,Udaipur,Rajasthan,2025-09-22
C00080,Customer_00080,63,Female,Lucknow,Uttar Pradesh,2026-06-21
