Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Unit_Price,Discount,Region,Sales_Channel,Payment_Method
ORD00226,2026-01-01,C0058,P109,4,299.67,0.1,West,Online,Card
ORD00714,2026-01-01,C0159,P109,5,337.86,0.0,North,Online,Card
ORD00693,2026-01-01,C0147,P119,4,655.58,0.0,South,Online,Card
ORD00452,2026-01-01,C0008,P115,7,2416.68,0.05,East,Online,Card
ORD00106,2026-01-01,C0046,P104,3,975.48,0.1,East,Online,Card
ORD00399,2026-01-01,C0102,P117,2,35.66,0.1,West,Store,Card
ORD00615,2026-01-01,C0120,P101,6,1004.49,0.0,East,Online,Card
ORD00625,2026-01-01,C0078,P117,6,36.47,0.0,North,Online,Card
ORD00253,2026-01-01,C0088,P107,2,84.62,0.15,North,Store,Card
ORD00798,2026-01-02,C0078,P117,4,34.69,0.15,South,Online,Card
ORD00277,2026-01-03,C0193,P113,4,2322.18,0.0,East,Online,UPI
ORD00004,2026-01-03,C0151,P106,3,47.07,0.05,North,Online,Card
ORD00092,2026-01-03,C0049,P111,6,688.8,0.0,East,Online,UPI
ORD00125,2026-01-03,C0057,P105,1,1335.98,0.1,North,Online,UPI
ORD00410,2026-01-03,C0160,P117,3,35.41,0.05,West,Online,UPI
ORD00847,2026-01-04,C0141,P105,4,1190.89,0.15,East,Store,UPI
ORD00347,2026-01-04,C0072,P105,1,1196.13,0.0,West,Online,Cash
ORD00369,2026-01-04,C0046,P120,5,381.74,0.1,North,Store,Net Banking
ORD00110,2026-01-04,C0077,P117,2,38.25,0.05,South,Online,Card
ORD00415,2026-01-05,C0148,P104,2,937.26,0.1,West,Online,Card
ORD00469,2026-01-05,C0003,P119,2,642.35,0.1,South,Store,Cash
ORD00552,2026-01-05,C0008,P108,2,94.44,0.05,West,Store,Cash
ORD00058,2026-01-05,C0096,P104,1,841.52,0.1,West,Online,Card
ORD00535,2026-01-05,C0079,P111,2,755.41,0.1,West,Online,UPI
ORD00811,2026-01-05,C0158,P113,6,2416.71,0.0,West,Online,UPI
ORD00218,2026-01-05,C0100,P115,6,2232.49,0.15,East,Online,Cash
ORD00328,2026-01-06,C0147,P104,4,814.4,0.15,East,Store,Net Banking
ORD00085,2026-01-06,C0037,P119,5,682.2,0.15,South,Store,Card
ORD00182,2026-01-06,C0037,P101,7,895.21,0.0,East,Online,Card
ORD00364,2026-01-06,C0024,P113,3,2309.29,0.15,West,Store,Net Banking
ORD00786,2026-01-07,C0117,P120,2,382.14,0.05,West,Online,UPI
ORD00784,2026-01-07,C0080,P116,5,442.77,0.05,West,Online,Card
ORD00276,2026-01-07,C0118,P112,2,2083.49,0.05,South,Online,UPI
ORD00254,2026-01-08,C0109,P117,5,31.42,0.05,East,Online,UPI
ORD00728,2026-01-08,C0075,P105,5,1358.98,0.05,South,Online,Net Banking
ORD00764,2026-01-08,C0117,P102,2,434.71,0.0,South,Online,Card
ORD00748,2026-01-08,C0011,P109,2,378.0,0.1,South,Store,Net Banking
ORD00320,2026-01-08,C0184,P111,3,650.92,0.0,West,Store,UPI
ORD00019,2026-01-08,C0167,P120,6,408.07,0.05,North,Online,Net Banking
ORD00978,2026-01-08,C0144,P102,3,430.98,0.1,North,Store,UPI
ORD00200,2026-01-08,C0091,P115,6,2130.2,0.1,East,Store,Card
ORD00837,2026-01-09,C0118,P117,7,32.7,0.1,North,Online,UPI
ORD00429,2026-01-09,C0194,P110,2,1147.61,0.1,East,Store,UPI
ORD00734,2026-01-10,C0143,P104,7,925.59,0.05,East,Store,Cash
ORD00414,2026-01-10,C0092,P106,4,45.7,0.2,South,Online,Card
ORD00534,2026-01-10,C0066,P118,1,8873.23,0.05,North,Store,UPI
ORD00054,2026-01-10,C0013,P118,2,9228.69,0.1,North,Online,UPI
ORD01000,2026-01-10,C0032,P104,7,852.01,0.1,South,Store,Card
ORD00908,2026-01-11,C0125,P116,3,459.53,0.0,West,Online,Card
ORD00613,2026-01-11,C0165,P112,4,1788.08,0.05,North,Online,Net Banking
ORD00067,2026-01-11,C0184,P109,1,299.04,0.0,North,Online,Net Banking
ORD00569,2026-01-11,C0014,P101,2,898.8,0.1,South,Store,Card
ORD00460,2026-01-11,C0127,P112,1,1708.65,0.0,South,Online,Card
ORD00803,2026-01-11,C0027,P105,4,1353.89,0.05,North,Online,Net Banking
ORD00910,2026-01-11,C0169,P101,2,920.15,0.1,South,Online,Cash
ORD00009,2026-01-12,C0079,P101,2,997.88,0.1,East,Store,Net Banking
ORD00973,2026-01-12,C0121,P105,1,1369.22,0.0,South,Online,Cash
ORD00991,2026-01-12,C0108,P107,4,89.49,0.0,South,Store,Cash
ORD00961,2026-01-12,C0150,P106,1,44.26,0.0,East,Online,UPI
ORD00128,2026-01-12,C0120,P106,7,45.37,0.15,West,Online,UPI
ORD00883,2026-01-12,C0161,P112,6,1677.54,0.2,North,Online,UPI
ORD00229,2026-01-12,C0170,P104,6,873.9,0.15,South,Store,UPI
ORD00305,2026-01-13,C0015,P107,3,76.0,0.1,North,Store,Cash
ORD00420,2026-01-13,C0002,P101,4,964.93,0.05,South,Online,Cash
ORD00485,2026-01-14,C0173,P102,3,445.08,0.15,South,Store,UPI
ORD00263,2026-01-14,C0079,P114,6,245.22,0.1,West,Online,UPI
ORD00463,2026-01-14,C0132,P118,3,9039.61,0.15,West,Online,UPI
ORD00272,2026-01-14,C0012,P120,3,384.49,0.1,West,Store,Card
ORD00836,2026-01-14,C0196,P115,2,2253.02,0.05,South,Store,UPI
ORD00515,2026-01-15,C0186,P115,4,2155.09,0.0,West,Online,UPI
ORD00288,2026-01-15,C0007,P108,3,107.5,0.15,South,Online,Card
ORD00549,2026-01-15,C0143,P115,6,2593.86,0.05,East,Online,Card
ORD00012,2026-01-16,C0137,P102,7,425.71,0.0,South,Online,Card
ORD00865,2026-01-17,C0091,P113,7,2689.28,0.15,North,Online,Net Banking
ORD00177,2026-01-17,C0133,P117,2,33.26,0.1,East,Online,UPI
ORD00655,2026-01-17,C0151,P112,6,2049.87,0.1,South,Store,UPI
ORD00428,2026-01-17,C0103,P112,5,1768.66,0.1,South,Store,UPI
ORD00943,2026-01-17,C0200,P105,7,1363.65,0.1,East,Store,Card
ORD00968,2026-01-17,C0047,P120,4,454.84,0.1,West,Online,UPI
ORD00297,2026-01-17,C0058,P104,3,944.53,0.1,West,Online,Card
ORD00713,2026-01-18,C0077,P102,3,387.44,0.0,West,Store,Net Banking
ORD00284,2026-01-18,C0029,P112,3,1686.4,0.0,West,Online,UPI
ORD00392,2026-01-19,C0110,P118,5,8608.86,0.1,East,Store,UPI
ORD00962,2026-01-19,C0044,P104,4,832.9,0.1,South,Online,UPI
ORD00712,2026-01-19,C0073,P108,3,116.18,0.1,North,Store,Card
ORD00395,2026-01-20,C0032,P111,6,658.03,0.1,South,Online,UPI
ORD00810,2026-01-20,C0164,P107,2,83.42,0.1,West,Online,Net Banking
ORD00217,2026-01-21,C0170,P102,4,449.77,0.05,North,Store,Cash
ORD00343,2026-01-21,C0012,P107,5,84.21,0.1,South,Store,Net Banking
ORD00223,2026-01-22,C0007,P104,2,984.4,0.0,South,Online,UPI
ORD00844,2026-01-22,C0106,P101,1,964.7,0.0,South,Online,Net Banking
ORD00491,2026-01-23,C0051,P110,3,1230.43,0.05,East,Online,UPI
ORD00094,2026-01-23,C0088,P115,3,2397.08,0.1,West,Store,Cash
ORD00575,2026-01-23,C0089,P104,1,928.2,0.0,West,Online,UPI
ORD00822,2026-01-24,C0108,P119,6,662.58,0.1,West,Store,Net Banking
ORD00663,2026-01-25,C0119,P119,7,629.73,0.0,East,Online,Cash
ORD00307,2026-01-25,C0029,P109,5,319.84,0.1,West,Online,UPI
ORD00303,2026-01-25,C0141,P110,5,1234.66,0.0,East,Online,Card
ORD00841,2026-01-25,C0172,P118,3,7746.95,0.0,North,Online,UPI
ORD00988,2026-01-25,C0118,P112,6,1888.38,0.05,East,Online,UPI
ORD00950,2026-01-25,C0086,P110,6,1128.71,0.15,West,Store,UPI
ORD00205,2026-01-25,C0168,P111,5,677.59,0.0,South,Online,Cash
ORD00645,2026-01-25,C0029,P103,3,167.26,0.05,West,Online,Net Banking
ORD00997,2026-01-26,C0198,P115,7,2275.6,0.0,North,Online,Net Banking
ORD00330,2026-01-26,C0197,P110,3,1296.6,0.1,North,Online,UPI
ORD00239,2026-01-26,C0002,P117,7,32.78,0.1,West,Online,Card
ORD00564,2026-01-26,C0041,P118,4,7952.73,0.05,South,Online,Cash
ORD00069,2026-01-26,C0010,P113,5,2716.57,0.05,North,Online,Net Banking
ORD00251,2026-01-26,C0188,P117,7,30.0,0.0,East,Online,Card
ORD00905,2026-01-26,C0067,P109,3,306.27,0.1,South,Store,Card
ORD00383,2026-01-26,C0088,P115,6,2673.54,0.05,East,Online,UPI
ORD00876,2026-01-27,C0147,P106,1,42.99,0.1,West,Online,UPI
ORD00566,2026-01-27,C0060,P108,1,100.6,0.0,East,Online,UPI
ORD00074,2026-01-27,C0133,P115,3,2298.27,0.05,South,Online,UPI
ORD00293,2026-01-28,C0111,P112,2,2016.08,0.1,South,Store,UPI
ORD00265,2026-01-28,C0022,P112,4,2158.74,0.0,South,Online,Net Banking
ORD00028,2026-01-28,C0188,P110,7,1361.57,0.0,West,Online,Cash
ORD00705,2026-01-29,C0063,P111,6,707.26,0.05,North,Store,Card
ORD00795,2026-01-29,C0141,P120,6,449.1,0.0,North,Online,Cash
ORD00171,2026-01-29,C0005,P111,7,615.07,0.1,North,Store,Card
ORD00850,2026-01-29,C0118,P108,3,96.0,0.1,North,Online,Cash
ORD00608,2026-01-29,C0028,P112,2,1681.18,0.05,West,Online,UPI
ORD00906,2026-01-29,C0042,P108,3,109.49,0.05,West,Store,UPI
ORD00670,2026-01-29,C0102,P104,3,1006.7,0.1,South,Online,Card
ORD00155,2026-01-30,C0101,P106,6,53.24,0.1,East,Store,Cash
ORD00465,2026-01-30,C0058,P103,3,145.08,0.0,East,Online,UPI
ORD00166,2026-01-30,C0076,P116,3,429.97,0.15,North,Store,UPI
ORD00056,2026-01-30,C0018,P102,6,426.59,0.05,North,Store,Cash
ORD00709,2026-01-30,C0089,P109,5,302.28,0.1,East,Online,Net Banking
ORD00604,2026-01-31,C0001,P112,3,1997.69,0.0,North,Online,Card
ORD00878,2026-01-31,C0183,P116,3,464.12,0.1,East,Online,Net Banking
ORD00358,2026-01-31,C0199,P113,5,2314.65,0.0,North,Online,UPI
ORD00115,2026-02-01,C0059,P104,1,940.15,0.05,East,Store,UPI
ORD00999,2026-02-01,C0200,P111,6,739.13,0.05,North,Online,UPI
ORD00770,2026-02-01,C0037,P118,7,7760.96,0.05,North,Online,UPI
ORD00486,2026-02-01,C0136,P106,7,44.99,0.0,East,Store,Cash
ORD00733,2026-02-01,C0089,P109,4,360.98,0.05,South,Online,UPI
ORD00744,2026-02-01,C0049,P112,6,1825.12,0.1,South,Online,Card
ORD00703,2026-02-01,C0192,P120,1,443.93,0.1,West,Online,UPI
ORD00925,2026-02-02,C0073,P111,5,688.01,0.15,East,Store,UPI
ORD00340,2026-02-02,C0064,P113,5,2573.01,0.0,North,Online,Card
ORD00530,2026-02-02,C0105,P103,4,174.26,0.05,East,Online,UPI
ORD00060,2026-02-02,C0039,P101,7,849.55,0.05,East,Online,Card
ORD00518,2026-02-02,C0148,P120,4,446.09,0.05,East,Online,UPI
ORD00116,2026-02-03,C0072,P106,3,51.06,0.15,North,Store,Card
ORD00232,2026-02-03,C0107,P102,4,428.36,0.05,South,Online,UPI
ORD00318,2026-02-03,C0081,P102,4,432.44,0.05,West,Online,Card
ORD00181,2026-02-03,C0198,P112,7,1740.46,0.1,East,Online,UPI
ORD00864,2026-02-03,C0154,P111,7,680.76,0.1,South,Online,Card
ORD00466,2026-02-04,C0022,P105,5,1086.17,0.15,South,Online,UPI
ORD00643,2026-02-04,C0126,P101,6,962.7,0.0,North,Online,UPI
ORD00046,2026-02-04,C0170,P115,3,2506.27,0.15,South,Online,UPI
ORD00952,2026-02-04,C0130,P118,3,9325.34,0.0,East,Store,Net Banking
ORD00451,2026-02-04,C0114,P106,5,43.09,0.1,South,Online,Card
ORD00766,2026-02-04,C0153,P101,1,1068.65,0.1,North,Online,Net Banking
ORD00926,2026-02-05,C0136,P115,1,2569.79,0.15,South,Online,Card
ORD00361,2026-02-05,C0192,P104,7,772.94,0.15,East,Online,Card
ORD00252,2026-02-05,C0192,P103,1,147.84,0.15,North,Online,Cash
ORD00563,2026-02-05,C0166,P103,3,181.33,0.1,South,Store,Net Banking
ORD00903,2026-02-05,C0085,P112,2,1826.67,0.0,South,Store,UPI
ORD00794,2026-02-05,C0021,P111,3,673.55,0.0,East,Online,UPI
ORD00404,2026-02-06,C0088,P103,6,142.62,0.1,North,Online,Cash
ORD00599,2026-02-06,C0001,P120,5,437.32,0.1,South,Online,Card
ORD00854,2026-02-06,C0009,P112,1,1706.21,0.15,North,Online,Net Banking
ORD00812,2026-02-06,C0146,P111,6,602.44,0.05,South,Online,UPI
ORD00524,2026-02-07,C0188,P103,2,169.6,0.0,South,Store,Cash
ORD00285,2026-02-07,C0164,P115,1,2782.91,0.1,North,Online,Net Banking
ORD00648,2026-02-07,C0184,P106,3,42.25,0.15,East,Store,Card
ORD00433,2026-02-07,C0174,P110,1,1184.64,0.1,North,Online,UPI
ORD00151,2026-02-07,C0089,P108,6,106.52,0.05,East,Store,UPI
ORD00572,2026-02-07,C0070,P116,4,488.14,0.0,West,Online,UPI
ORD00403,2026-02-07,C0179,P110,7,1132.05,0.05,West,Online,Card
ORD00540,2026-02-07,C0170,P112,5,1842.19,0.05,South,Store,Card
ORD00914,2026-02-08,C0019,P107,5,79.27,0.0,West,Store,Card
ORD00295,2026-02-08,C0160,P103,1,150.2,0.1,West,Online,UPI
ORD00483,2026-02-08,C0055,P117,4,30.54,0.15,East,Store,Cash
ORD00505,2026-02-08,C0189,P106,5,50.38,0.0,East,Online,UPI
ORD00120,2026-02-08,C0054,P120,7,439.47,0.1,North,Online,Card
ORD00951,2026-02-08,C0070,P119,7,566.13,0.15,South,Online,Card
ORD00909,2026-02-09,C0167,P104,6,881.32,0.05,West,Online,UPI
ORD00610,2026-02-09,C0107,P109,5,336.63,0.0,West,Online,Cash
ORD00838,2026-02-09,C0007,P115,6,2362.32,0.1,East,Store,Card
ORD00481,2026-02-09,C0122,P109,7,387.08,0.0,South,Store,Cash
ORD00942,2026-02-09,C0008,P118,4,8058.74,0.05,East,Store,UPI
ORD00453,2026-02-09,C0072,P118,4,8863.66,0.15,East,Store,UPI
ORD00359,2026-02-09,C0131,P112,2,1871.53,0.1,North,Store,Card
ORD00862,2026-02-10,C0152,P102,7,442.98,0.1,East,Online,Net Banking
ORD00611,2026-02-10,C0165,P102,2,390.93,0.15,South,Store,Cash
ORD00031,2026-02-10,C0131,P117,5,34.31,0.0,North,Store,UPI
ORD00478,2026-02-11,C0141,P117,4,35.11,0.15,East,Online,Net Banking
ORD00513,2026-02-11,C0094,P114,1,278.28,0.05,South,Store,UPI
ORD00860,2026-02-11,C0170,P109,1,308.92,0.1,South,Store,Card
ORD00949,2026-02-11,C0003,P111,7,721.2,0.05,North,Online,UPI
ORD00325,2026-02-11,C0187,P105,5,1315.23,0.0,East,Online,Net Banking
ORD00565,2026-02-12,C0062,P111,1,773.19,0.1,East,Online,UPI
ORD00188,2026-02-12,C0114,P101,6,1068.87,0.1,East,Online,UPI
ORD00386,2026-02-13,C0064,P107,4,77.57,0.05,South,Online,UPI
ORD00302,2026-02-13,C0099,P111,7,764.3,0.0,South,Online,Card
ORD00964,2026-02-13,C0036,P109,5,305.8,0.05,North,Online,Net Banking
ORD00236,2026-02-14,C0159,P111,2,625.43,0.05,East,Online,Net Banking
ORD00772,2026-02-15,C0015,P112,5,2162.93,0.15,West,Online,UPI
ORD00578,2026-02-15,C0163,P119,4,587.02,0.15,West,Online,Net Banking
ORD00045,2026-02-15,C0016,P109,3,311.89,0.15,East,Online,UPI
